[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.002031s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.010709s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010818s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000921s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000966s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001162s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001008s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004317s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --START--
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000978s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001067s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000630s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000750s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Tag[ view_template ] --START--
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000504s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000590s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Run ParseTemplate Behavior [ RunTime:0.008535s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008644s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Run ContentReplace Behavior [ RunTime:0.000433s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Run TokenBuild Behavior [ RunTime:0.000464s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000261s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000511s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001883s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Tag[ view_end ] --START--
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000485s ]
[ 2012-12-11T09:23:31+08:00 ] /nextUpFile/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000563s ]
[ 2012-12-11T09:23:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --START--
[ 2012-12-11T09:23:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run CheckRoute Behavior [ RunTime:0.001367s ]
[ 2012-12-11T09:23:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001481s ]
[ 2012-12-11T09:23:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T09:23:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000653s ]
[ 2012-12-11T09:23:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000740s ]
[ 2012-12-11T09:23:35+08:00 ] /nextUpFile/index.php/Index/uploadify | NOTIC: [8] Undefined property: UploadFile::$zipImags UploadFile.class.php 第 172 行.
[ 2012-12-11T09:23:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --START--
[ 2012-12-11T09:23:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run CheckRoute Behavior [ RunTime:0.000926s ]
[ 2012-12-11T09:23:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001048s ]
[ 2012-12-11T09:23:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T09:23:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000641s ]
[ 2012-12-11T09:23:35+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000719s ]
[ 2012-12-11T09:23:35+08:00 ] /nextUpFile/index.php/Index/uploadify | NOTIC: [8] Undefined property: UploadFile::$zipImags UploadFile.class.php 第 172 行.
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001087s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001195s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001421s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001516s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.011122s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011225s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000896s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000936s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000745s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001043s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003870s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000981s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001062s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000668s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001236s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ view_template ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000476s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000571s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Run ParseTemplate Behavior [ RunTime:0.008840s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008944s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Run ContentReplace Behavior [ RunTime:0.000436s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Run TokenBuild Behavior [ RunTime:0.000464s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000405s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000800s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002364s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ view_end ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000718s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000819s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001175s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001334s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001814s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001936s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.011731s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011843s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000890s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000920s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000759s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001061s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003875s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000971s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001053s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000628s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000746s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ view_template ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000470s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000564s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Run ParseTemplate Behavior [ RunTime:0.009405s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009515s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Run ContentReplace Behavior [ RunTime:0.000419s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Run TokenBuild Behavior [ RunTime:0.000450s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000268s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000511s ]
[ 2012-12-11T09:24:13+08:00 ] /nextUpFile/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001866s ]
