[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002123s ]
[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --START--
[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000492s ]
[ 2012-12-10T09:12:00+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000567s ]
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000651s ]
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000761s ]
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Tag[ view_template ] --START--
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000409s ]
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000495s ]
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Run ParseTemplate Behavior [ RunTime:0.009186s ]
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009286s ]
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Run ContentReplace Behavior [ RunTime:0.000410s ]
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Run TokenBuild Behavior [ RunTime:0.000450s ]
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000393s ]
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000586s ]
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002103s ]
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Tag[ view_end ] --START--
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000488s ]
[ 2012-12-10T09:12:01+08:00 ] /nextUpFile/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000563s ]
[ 2012-12-10T09:12:03+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --START--
[ 2012-12-10T09:12:03+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run CheckRoute Behavior [ RunTime:0.000963s ]
[ 2012-12-10T09:12:03+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001089s ]
[ 2012-12-10T09:12:03+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T09:12:03+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000616s ]
[ 2012-12-10T09:12:03+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000695s ]
[ 2012-12-10T09:12:03+08:00 ] /nextUpFile/index.php/Index/uploadify | NOTIC: [8] Undefined property: UploadFile::$zipImags UploadFile.class.php 第 172 行.
[ 2012-12-10T09:12:33+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --START--
